Event,Fight
UFC 305: Du Plessis vs. Adesanya,Jairzinho Rozenstruik vs. Tai Tuivasa
UFC 305: Du Plessis vs. Adesanya,Carlos Prates vs. Li Jingliang
UFC 305: Du Plessis vs. Adesanya,Valter Walker vs. Junior Tafa
UFC 305: Du Plessis vs. Adesanya,Ricardo Ramos vs. Josh Culibao
UFC 305: Du Plessis vs. Adesanya,Casey O'Neill vs. Luana Santos
UFC 305: Du Plessis vs. Adesanya,Jack Jenkins vs. Herbert Burns
UFC 305: Du Plessis vs. Adesanya,Tom Nolan vs. Alex Reyes
UFC 305: Du Plessis vs. Adesanya,Song Kenan vs. Ricky Glenn
UFC 305: Du Plessis vs. Adesanya,Jesus Santos Aguilar vs. Stewart Nicoll
UFC Fight Night: Tybura vs. Spivac 2,Serghei Spivac vs. Marcin Tybura
UFC Fight Night: Tybura vs. Spivac 2,Jose Mariscal vs. Damon Jackson
UFC Fight Night: Tybura vs. Spivac 2,Danny Barlow vs. Nikolay Veretennikov
UFC Fight Night: Tybura vs. Spivac 2,Chris Gutierrez vs. Quang Le
UFC Fight Night: Tybura vs. Spivac 2,Yana Kunitskaya vs. Chelsea Chandler
UFC Fight Night: Tybura vs. Spivac 2,Toshiomi Kazama vs. Charalampos Grigoriou
UFC Fight Night: Tybura vs. Spivac 2,Karol Rosa vs. Pannie Kianzad
UFC Fight Night: Tybura vs. Spivac 2,Rodolfo Marques Diniz vs. Karl Williams
UFC Fight Night: Tybura vs. Spivac 2,Youssef Zalal vs. Jarno Errens
